Preferred Foot,Position,Agility,Strength,Dribbling,Jumping,Marking,Interceptions
0,21,0.9390243902439025,0.525,1.0000000000000002,0.6625000000000001,0.3296703296703297,0.21348314606741572
1,26,0.8902439024390244,0.775,0.903225806451613,1.0,0.27472527472527475,0.2921348314606742
1,14,1.0000000000000002,0.4,0.989247311827957,0.5750000000000001,0.26373626373626374,0.3707865168539326
1,5,0.5609756097560975,0.5875,0.15053763440860218,0.65,0.1318681318681319,0.3033707865168539
1,19,0.7926829268292683,0.725,0.881720430107527,0.6000000000000001,0.7142857142857143,0.651685393258427
1,11,0.9878048780487806,0.6125,0.978494623655914,0.5125000000000001,0.34065934065934067,0.4269662921348315
1,19,0.9634146341463415,0.5125000000000001,0.924731182795699,0.6625000000000001,0.6263736263736265,0.898876404494382
1,23,0.8292682926829268,0.8250000000000001,0.89247311827957,0.675,0.6483516483516484,0.4269662921348315
1,18,0.7804878048780488,0.8250000000000001,0.6344086021505377,0.9750000000000001,0.9230769230769231,0.9775280898876405
1,5,0.6463414634146342,0.7625000000000001,0.08602150537634408,0.7625000000000001,0.26373626373626374,0.1797752808988764
1,26,0.7804878048780488,0.8375,0.870967741935484,0.8625,0.34065934065934067,0.4044943820224719
1,9,0.6829268292682926,0.7000000000000001,0.827956989247312,0.1875,0.7582417582417583,0.8876404494382023
1,1,0.5365853658536586,0.8875000000000001,0.5268817204301076,0.95,0.9560439560439561,0.9550561797752809
0,9,0.951219512195122,0.4375,0.913978494623656,0.6125,0.6153846153846154,0.5280898876404495
1,10,0.8292682926829268,0.7375,0.8064516129032259,0.775,0.9560439560439561,0.9999999999999999
0,11,0.9390243902439025,0.6,0.9462365591397851,0.75,0.21978021978021983,0.3258426966292135
1,26,0.6951219512195121,0.8375,0.817204301075269,0.7875000000000001,0.5824175824175825,0.3595505617977528
0,0,0.926829268292683,0.5625,0.903225806451613,0.9375,0.6153846153846154,0.3595505617977528
1,5,0.2804878048780488,0.775,0.13978494623655913,0.8,0.2417582417582418,0.21348314606741572
0,5,0.573170731707317,0.6625,0.09677419354838711,0.6625000000000001,0.18681318681318684,0.1348314606741573
1,2,0.6341463414634146,0.75,0.817204301075269,0.6375000000000001,0.9560439560439561,0.9438202247191011
1,13,0.7682926829268293,0.7625000000000001,0.817204301075269,0.9125000000000001,0.5384615384615385,0.5056179775280899
1,5,0.4512195121951219,0.7875,0.2795698924731183,0.775,0.15384615384615385,0.3033707865168539
1,26,0.8780487804878049,0.7000000000000001,0.913978494623656,0.825,0.29670329670329676,0.23595505617977527
0,8,0.4878048780487805,0.9,0.5806451612903226,0.925,0.9890109890109892,0.9550561797752809
1,22,0.951219512195122,0.675,0.924731182795699,0.75,0.34065934065934067,0.3932584269662921
0,22,0.9390243902439025,0.6625,0.913978494623656,0.6625000000000001,0.38461538461538464,0.5842696629213483
1,2,0.5853658536585366,0.9,0.6989247311827957,0.9125000000000001,0.9340659340659342,0.9438202247191011
0,6,0.8414634146341463,0.6375000000000001,0.870967741935484,0.48750000000000004,0.5384615384615385,0.5842696629213483
1,14,0.9756097560975611,0.3375,0.924731182795699,0.4750000000000001,0.5274725274725275,0.2584269662921348
1,14,0.8902439024390244,0.525,0.967741935483871,0.6125,0.6263736263736265,0.6853932584269663
1,0,0.7926829268292683,0.5125000000000001,0.860215053763441,0.4375,0.6153846153846154,0.5955056179775281
1,14,0.951219512195122,0.55,0.9354838709677421,0.55,0.5714285714285715,0.5168539325842697
1,12,0.7560975609756098,0.7375,0.8064516129032259,0.8,0.26373626373626374,0.5056179775280899
1,8,0.5975609756097561,0.8375,0.6881720430107527,0.6625000000000001,0.9340659340659342,0.9999999999999999
0,7,0.8780487804878049,0.7625000000000001,0.924731182795699,0.7625000000000001,0.7472527472527474,0.9213483146067416
0,26,0.8292682926829268,0.7875,0.89247311827957,0.9000000000000001,0.5604395604395604,0.6292134831460674
0,5,0.5,0.32499999999999996,0.06451612903225808,0.7375,0.28571428571428575,0.2696629213483146
1,13,0.7439024390243902,0.85,0.860215053763441,0.8,0.3516483516483517,0.19101123595505617
1,18,0.6585365853658537,0.8125000000000001,0.6236559139784947,0.9375,0.9340659340659342,0.9662921348314607
1,5,0.4024390243902439,0.675,0.08602150537634408,0.7875000000000001,0.2417582417582418,0.21348314606741572
1,5,0.5,0.65,0.23655913978494625,0.75,0.10989010989010992,0.2808988764044944
0,1,0.6585365853658537,0.8375,0.6989247311827957,0.925,0.9560439560439561,0.9438202247191011
1,26,0.7560975609756098,0.7375,0.7849462365591399,0.9875,0.46153846153846156,0.21348314606741572
1,8,0.4390243902439024,0.9625,0.6666666666666667,0.825,0.967032967032967,0.9550561797752809
1,20,0.7317073170731707,0.9,0.89247311827957,0.8500000000000001,0.6923076923076924,0.7078651685393259
1,5,0.5609756097560975,0.725,0.12903225806451613,0.7375,0.27472527472527475,0.19101123595505617
0,26,0.5609756097560975,0.9625,0.817204301075269,0.7000000000000001,0.29670329670329676,0.2696629213483146
1,26,0.7682926829268293,0.7375,0.849462365591398,0.775,0.34065934065934067,0.4157303370786517
0,7,0.926829268292683,0.55,0.817204301075269,0.825,0.7582417582417583,0.9101123595505618
1,21,0.9756097560975611,0.3125,0.9354838709677421,0.5625,0.2417582417582418,0.3707865168539326
0,8,0.573170731707317,0.775,0.7204301075268819,0.875,0.9560439560439561,0.9662921348314607
1,9,0.7560975609756098,0.625,0.881720430107527,0.7000000000000001,0.7912087912087913,0.7752808988764045
1,19,0.7073170731707317,0.6125,0.860215053763441,0.30000000000000004,0.7582417582417583,0.8089887640449438
1,18,0.5365853658536586,0.8250000000000001,0.5913978494623657,0.7375,0.967032967032967,0.9550561797752809
0,14,0.9024390243902439,0.6625,0.903225806451613,0.6125,0.3626373626373627,0.348314606741573
0,24,0.926829268292683,0.38750000000000007,0.9462365591397851,0.4375,0.5054945054945056,0.5168539325842697
0,5,0.5609756097560975,0.6375000000000001,0.20430107526881724,0.5375000000000001,0.27472527472527475,0.24719101123595508
1,12,0.9390243902439025,0.625,0.89247311827957,0.75,0.4285714285714286,0.3595505617977528
1,8,0.573170731707317,0.9375000000000001,0.7096774193548389,0.875,0.9340659340659342,0.9325842696629213
1,24,0.9634146341463415,0.4375,0.903225806451613,0.525,0.4835164835164836,0.3033707865168539
1,0,0.8048780487804877,0.7125,0.89247311827957,0.825,0.6263736263736265,0.6179775280898877
1,18,0.5975609756097561,0.8375,0.5698924731182796,0.8,0.9230769230769231,0.8876404494382023
1,9,0.8902439024390244,0.4375,0.924731182795699,0.6125,0.8241758241758242,0.9101123595505618
0,7,0.7926829268292683,0.775,0.817204301075269,0.8,0.8571428571428572,0.8876404494382023
0,12,0.9634146341463415,0.5750000000000001,0.9462365591397851,0.5750000000000001,0.46153846153846156,0.5056179775280899
1,0,0.7439024390243902,0.6375000000000001,0.7634408602150539,0.825,0.4505494505494506,0.6179775280898877
1,4,0.926829268292683,0.525,0.924731182795699,0.75,0.7032967032967034,0.8426966292134831
1,12,0.8780487804878049,0.625,0.89247311827957,0.6875,0.4835164835164836,0.5280898876404495
1,17,0.7073170731707317,0.675,0.6989247311827957,0.7625000000000001,0.9340659340659342,0.9662921348314607
1,18,0.5609756097560975,0.8250000000000001,0.6989247311827957,0.875,0.9560439560439561,0.9775280898876405
1,18,0.5609756097560975,0.775,0.6236559139784947,0.8625,0.9560439560439561,0.9438202247191011
1,2,0.7682926829268293,0.6125,0.881720430107527,0.5750000000000001,0.7912087912087913,0.8426966292134831
1,1,0.548780487804878,0.9249999999999999,0.6451612903225807,0.875,0.9450549450549451,0.9325842696629213
0,0,0.7926829268292683,0.5,0.860215053763441,0.4125000000000001,0.23076923076923078,0.23595505617977527
1,2,0.7073170731707317,0.7375,0.7849462365591399,0.7625000000000001,0.9010989010989012,0.9550561797752809
1,11,0.7926829268292683,0.5125000000000001,0.924731182795699,0.4,0.7032967032967034,0.7078651685393259
1,8,0.41463414634146345,0.8250000000000001,0.5913978494623657,0.7875000000000001,0.9780219780219782,0.9325842696629213
1,4,0.6341463414634146,0.8875000000000001,0.881720430107527,0.875,0.7912087912087913,0.8426966292134831
0,24,0.7926829268292683,0.55,0.881720430107527,0.5375000000000001,0.40659340659340665,0.4719101123595506
0,0,0.926829268292683,0.8125000000000001,0.924731182795699,0.675,0.3076923076923077,0.2808988764044944
1,5,0.31707317073170727,0.7625000000000001,0.24731182795698925,0.4625,0.1318681318681319,0.0898876404494382
1,19,0.8536585365853658,0.6,0.817204301075269,0.8,0.7912087912087913,0.8539325842696629
0,19,0.7560975609756098,0.75,0.849462365591398,0.8,0.8131868131868133,0.8426966292134831
0,24,0.9634146341463415,0.4625,0.9354838709677421,0.5750000000000001,0.46153846153846156,0.4044943820224719
0,7,0.7926829268292683,0.675,0.8064516129032259,0.8375000000000001,0.8461538461538463,0.9101123595505618
1,12,0.7317073170731707,0.775,0.838709677419355,0.5750000000000001,0.8461538461538463,0.7078651685393259
1,26,0.8658536585365854,0.7000000000000001,0.870967741935484,0.7625000000000001,0.28571428571428575,0.4382022471910112
1,8,0.6585365853658537,0.8125000000000001,0.5376344086021506,0.8875,0.9120879120879122,0.9325842696629213
1,1,0.6097560975609756,0.7875,0.5053763440860216,0.9625000000000001,0.8791208791208792,0.9101123595505618
1,19,0.6341463414634146,0.6875,0.7956989247311829,0.45000000000000007,0.7252747252747254,0.8764044943820225
1,10,0.6707317073170732,0.7999999999999999,0.838709677419355,0.9375,0.7912087912087913,0.8764044943820225
1,5,0.5,0.6,0.07526881720430108,0.7000000000000001,0.18681318681318684,0.1348314606741573
1,24,0.926829268292683,0.6875,0.89247311827957,0.9000000000000001,0.38461538461538464,0.4831460674157303
1,12,0.951219512195122,0.4,0.956989247311828,0.7125,0.5274725274725275,0.3932584269662921
1,18,0.5121951219512195,0.9249999999999999,0.6451612903225807,0.7375,0.8901098901098902,0.8764044943820225
1,0,0.7317073170731707,0.775,0.7741935483870969,0.875,0.8681318681318682,0.9101123595505618
1,12,0.7804878048780488,0.7625000000000001,0.860215053763441,0.8625,0.6703296703296704,0.7415730337078652
1,26,0.524390243902439,0.7875,0.7741935483870969,0.6375000000000001,0.6043956043956045,0.5280898876404495
1,19,0.5,0.8750000000000001,0.827956989247312,0.6625000000000001,0.8461538461538463,0.9325842696629213
1,13,0.5365853658536586,0.9375000000000001,0.7849462365591399,0.6125,0.6043956043956045,0.4157303370786517
1,0,0.7560975609756098,0.75,0.817204301075269,0.7625000000000001,0.8791208791208792,0.9325842696629213
1,1,0.3902439024390244,0.8250000000000001,0.6021505376344087,0.375,0.9120879120879122,0.898876404494382
0,12,0.8414634146341463,0.7375,0.7956989247311829,0.8625,0.9010989010989012,0.9325842696629213
1,1,0.573170731707317,0.775,0.6774193548387097,0.8375000000000001,0.9560439560439561,0.9213483146067416
1,26,0.7560975609756098,0.7875,0.849462365591398,0.7250000000000001,0.4835164835164836,0.21348314606741572
0,7,0.7439024390243902,0.7125,0.7849462365591399,0.7000000000000001,0.8241758241758242,0.9101123595505618
